Date,Open,High,Low,Close,Adj Close,Volume
3/20/2020,129,135.979996,124,130.550003,130.550003,13872600
3/23/2020,141.996994,164.940002,137.25,159.559998,159.559998,27681500
3/24/2020,154,155,133.880005,135.179993,135.179993,22401300
3/25/2020,140.104996,149,136.199997,138.110001,138.110001,14743000
3/26/2020,140.509995,146.649994,138.199997,141.149994,141.149994,9252700
3/27/2020,145.699997,154.970001,145.600006,151.699997,151.699997,13271900
3/30/2020,160.759995,161.690002,147.199997,150.880005,150.880005,15762200
3/31/2020,147.020004,149.789993,143.356995,146.119995,146.119995,10023700
4/1/2020,144.5,144.600006,135.179993,137,137,11453300
4/2/2020,125.300003,133.488998,114.5,121.93,121.93,27313800
4/3/2020,124.300003,128.479996,120.110001,128.199997,128.199997,12238100
4/6/2020,113.629997,125.175003,108.529999,122.940002,122.940002,25378900
4/7/2020,118.004997,118.440002,109.570999,113.75,113.75,20166200
4/8/2020,115.019997,125.877998,112.5,117.809998,117.809998,26243300
4/9/2020,117.800003,125.5,114,124.510002,124.510002,15513000
4/13/2020,127,136.860001,125.603996,135.919998,135.919998,15411700
4/14/2020,141.070007,145.199997,139.009995,141.889999,141.889999,11679900
4/15/2020,141.710007,152.570007,140,151.559998,151.559998,14193300
4/16/2020,149.919998,154.25,146.800003,150.259995,150.259995,15138200
4/17/2020,147.910004,153.789001,144.029999,150.059998,150.059998,11328400
4/20/2020,153.300003,155,148.253998,148.990005,148.990005,11218700
4/21/2020,151.419998,154.75,138.360001,143.270004,143.270004,9709100
4/22/2020,147.100006,152.279999,145.100006,150.25,150.25,6552800
4/23/2020,154.009995,169.75,153.490005,169.089996,169.089996,22159800
4/24/2020,177.149994,181.5,158.300003,158.800003,158.800003,44049500
4/27/2020,156.589996,167.850006,155,164.600006,164.600006,19783700
4/28/2020,165,166,155.25,156.720001,156.720001,13477800
4/29/2020,147.979996,151,143.380005,146.479996,146.479996,22033300
4/30/2020,139.990005,143.800003,133.679993,135.169998,135.169998,16647100
5/1/2020,136,141.630005,132.669998,138.559998,138.559998,13807000
5/4/2020,140.770004,144.979996,140.449997,143.440002,143.440002,9184700
5/5/2020,144.429993,148.440002,140.860001,144.820007,144.820007,7376300
5/6/2020,145.470001,150.740005,144.089996,149.589996,149.589996,6031100
