sale_price,sq_ft,acreage
379900,2213,0.15
410000,3067,0.19
560000,3715,0.64
160000,1324,0.14
297800,2128,0.1
440000,3050,0.15
304000,2025,0.16
475000,3187,0.19
349900,2526,0.33
304100,2148,0.1
306000,2128,0.15
330000,2296,0.17
350000,2492,0.24
650000,3637,0.26
837000,4436,0.45
430000,2513,0.66
386300,1816,0.15
315000,2376,0.11
415000,2847,0.17
372500,3123,0.19
596300,3192,0.22
348000,2308,0.31
415000,3563,0.23
310000,2128,0.1
392000,2970,0.19
404000,3002,0.28
285000,2005,0.1
306000,2128,0.1
495000,2934,0.29
525000,3087,0.29
215000,1279,0.12
324900,2317,0.15
335000,2592,0.16
341600,2046,0.14
360000,2682,0.14
367000,2911,0.17
430000,2992,0.19
292000,2303,0.24
185000,1358,0.1
563300,3587,0.25
522000,3313,0.27
305100,2128,0.11
291000,2206,0.16
601000,3796,0.4
317100,2128,0.1
340000,2524,0.19
355000,2446,0.27
469000,2956,0.33
320000,2300,0.35
378000,2558,0.15
386600,2598,0.16
285000,1978,0.17
480000,3773,0.33
340100,2128,0.1
282500,2177,0.15
328000,2932,0.11
305000,2342,0.15
590000,4097,0.21
540800,3967,0.22
362000,2350,0.25
330000,2700,0.13
368700,2417,0.16
506100,3100,0.25
610000,4866,0.55
330000,2379,0.2
364000,3104,0.24
333800,2894,0.14
375000,2864,0.15
304000,2042,0.16
555100,3148,0.22
299000,2410,0.23
272500,1991,0.24
689500,4165,0.24
319000,2475,0.27
313800,2128,0.1
370000,3187,0.13
372500,2953,0.1
349900,3448,0.13
317500,1716,0.14
406000,2954,0.14
315000,2427,0.15
355000,2700,0.15
250000,1762,0.21
600000,3741,0.28
245000,1815,0.14
489000,3322,0.27
279900,2229,0.17
333100,1751,0.18
488700,3213,0.24
285000,1848,0.13
491400,2612,0.28
390000,2736,0.24
197500,1314,0.11
335000,2434,0.12
243000,2137,0.14
299000,2220,0.18
210000,1526,0.13
420000,2660,0.21
370000,2462,0.27
498100,3099,0.27
629900,4424,0.6
307600,2128,0.1
340000,2539,0.22
515000,4032,0.42
360000,2365,0.11
385000,2722,0.12
389500,3116,0.19
657300,5179,0.74
411900,2046,0.16
330000,2226,0.18
282000,2208,0.24
381700,2817,0.24
342000,2228,0.37
698700,3974,0.69
395000,2972,0.19
321000,2655,0.15
291900,2050,0.16
325000,2466,0.21
439000,2640,0.22
437900,2613,0.35
555000,3998,0.21
252500,1634,0.1
315000,2446,0.15
279000,2034,0.17
399000,2855,0.32
294000,2128,0.1
325000,2722,0.13
334000,2902,0.13
340000,2991,0.13
410000,3018,0.15
338500,2801,0.16
340000,2723,0.18
431000,2678,0.18
527400,3589,0.21
217000,1652,0.23
289500,2036,0.26
403500,1927,5.08
305000,2068,0.1
305000,2128,0.1
362800,2715,0.11
351400,,0.13
250000,2026,0.17
173000,2280,1.3
283700,2064,0.11
350000,2811,0.13
486500,2947,0.23
377500,2710,0.25
671100,4796,0.56
350000,2722,0.14
337500,2645,0.15
333000,2275,0.16
282000,2094,0.19
282000,2094,0.2
587000,3676,0.72
601500,3676,0.72
140000,1506,0.05
402200,,0.14
304900,2400,0.16
280000,1830,0.17
305000,2232,0.25
357500,2390,0.34
565000,3537,0.5
365000,2772,0.13
317400,,0.14
260000,1854,0.15
265000,2051,0.15
410000,3019,0.17
459000,3029,0.18
442000,3096,0.23
467500,3073,0.24
575000,3595,0.28
137500,2231,0.34
910000,5778,0.35
295000,2281,0.38
133000,1565,0.09
339500,1836,0.16
487500,2982,0.22
365500,2576,0.27
434000,2977,0.3
135000,1578,0.05
230000,1792,0.19
350000,2337,0.32
350000,2409,0.32
127500,1387,0.06
283500,2040,0.14
279000,2340,0.15
436000,2829,0.16
325000,2224,0.22
148500,1383,0.03
251500,1652,0.11
370000,2896,0.13
224600,1540,0.15
253100,2004,0.21
634000,3771,0.34
340000,2632,0.31
134900,1506,0.03
178000,1399,0.09
245000,1625,0.1
271900,,0.1
296000,2617,0.1
322900,2128,0.13
315000,2042,0.14
376500,,0.14
245000,1837,0.15
287500,2110,0.15
308500,2128,0.17
308500,2156,0.17
214000,1604,0.19
387500,2944,0.19
348400,2909,0.2
380000,3148,0.2
319000,2701,0.21
348400,2909,0.21
410000,3225,0.21
550000,3452,0.22
550000,3641,0.22
420000,3353,0.23
471000,3386,0.24
410000,2676,0.27
430000,2988,0.32
265000,2199,0.34
525000,4022,0.38
525000,3487,0.51
537500,3564,1.02
131900,1565,0.07
268200,,0.1
239000,1810,0.13
255000,1936,0.14
264900,1824,0.15
315000,2628,0.15
282000,2233,0.17
250000,2286,0.18
310000,2498,0.2
310000,2498,0.21
283000,2225,0.23
430000,2928,0.25
550000,3761,0.53
50000,1144,0.96
335000,2512,0.1
360900,2052,0.14
375000,2711,0.21
399900,2861,0.27
485000,2934,0.32
145000,1383,0.03
270000,2196,0.21
269500,2635,0.22
420000,2805,0.23
296000,2137,0.24
249929,1449,1.15
252700,,0.1
256200,,0.1
343000,2931,0.11
285000,2144,0.13
320000,2624,0.15
352000,3272,0.19
309000,2592,0.37
169000,1594,0.02
294000,2068,0.1
349400,2672,0.15
330000,2630,0.17
367000,2756,0.27
319000,2196,0.31
458000,3067,0.57
330000,2380,0.11
330000,2932,0.11
217000,1744,0.14
412700,2895,0.16
654800,3455,0.26
685000,4051,0.52
295000,2014,1.02
155000,1253,0.03
372700,2615,0.11
372700,2735,0.11
278500,1986,0.14
490000,3194,0.22
437000,2798,0.27
376300,2734,0.11
265000,2060,0.15
399000,3052,0.16
363500,2632,0.21
467500,3035,0.32
300000,2502,0.1
167500,1698,0.13
210000,1796,0.18
492500,2984,0.51
150000,1383,0.03
255000,1777,0.08
159000,1182,0.09
295000,2312,0.09
250000,1693,0.1
225000,1634,0.14
250000,2188,0.15
362000,2519,0.17
312500,2310,0.2
385000,3285,0.21
460000,3311,0.21
502500,2840,0.21
504286,3176,0.22
305000,2370,0.24
277000,2476,0.31
450000,3034,0.32
529000,3090,0.46
529000,3093,0.46
435000,2707,0.51
664000,4276,0.67
132500,1578,0.05
231700,1801,0.13
283000,2949,0.13
233300,1801,0.15
243000,1918,0.15
275000,1905,0.15
395000,,0.15
395000,2987,0.15
216900,1662,0.19
369900,2784,0.21
477900,3567,0.21
477900,3568,0.21
309000,2516,0.25
465000,4009,0.25
485000,2840,0.28
448500,2926,0.52
825400,4906,0.62
300000,2019,1.03
147000,1383,0.03
289900,2016,0.08
266500,2633,0.13
266500,2635,0.13
185000,1239,0.15
289900,2045,0.15
293300,2624,0.16
309800,2400,0.17
640000,3827,0.3
455000,3208,0.48
880000,4113,0.49
235000,,0.07
293000,2296,0.09
273500,,0.1
310000,2228,0.16
271900,,0.17
265000,2080,0.19
385000,2560,0.19
393000,2641,0.2
206000,1372,0.21
389500,3041,0.25
301000,2173,0.26
